name,time,value
damper,1732417200015619367,4
damper,1732417201015388732,4
damper,1732417202015572150,4
damper,1732417203014742936,4
damper,1732417204015576457,4
damper,1732417205016704620,4
damper,1732417206016735302,4
damper,1732417207016506890,4
damper,1732417208016196175,4
damper,1732417209016607708,4
damper,1732417210017060550,4
damper,1732417211017675013,4
damper,1732417212017563680,4
damper,1732417213017918659,4
damper,1732417214018115872,4
damper,1732417215018926481,4
damper,1732417216018930844,4
damper,1732417217019143968,4
damper,1732417218020273322,4
damper,1732417219020261947,4
damper,1732417220020371446,4
damper,1732417221021036863,4
damper,1732417222021736325,4
damper,1732417223021449534,4
damper,1732417224021778243,4
damper,1732417225021815077,4
damper,1732417226022629353,4
damper,1732417227023188283,4
damper,1732417228023664678,4
damper,1732417229022822801,4
damper,1732417230026929004,4
damper,1732417231027121368,4
damper,1732417232028286840,4
damper,1732417233027836984,4
damper,1732417234027908313,4
damper,1732417235029053648,4
damper,1732417236029717833,4
damper,1732417237029655630,4
damper,1732417238029760212,4
damper,1732417239030739174,4
damper,1732417240031113749,4
damper,1732417241031515595,4
damper,1732417242031455157,4
damper,1732417243031504934,4
damper,1732417244031873677,4
damper,1732417245031282869,4
damper,1732417246031927236,4
damper,1732417247031412591,4
damper,1732417248031117545,4
damper,1732417249031116488,4
damper,1732417250030995387,4
damper,1732417251031305141,4
damper,1732417252031212623,4
damper,1732417253031857643,4
damper,1732417254031574579,4
damper,1732417255030923058,4
damper,1732417256031085295,4
damper,1732417257031769177,4
damper,1732417258031775874,4
damper,1732417259032075629,4
damper,1732417260032984241,4
damper,1732417261033456037,4
damper,1732417262033246141,4
damper,1732417263033763021,4
damper,1732417264033304429,4
damper,1732417265033655260,4
damper,1732417266034650904,4
damper,1732417267035634335,4
damper,1732417268036881699,4
damper,1732417269036042827,4
damper,1732417270036497952,4
damper,1732417271036850305,4
damper,1732417272037079958,4
damper,1732417273037976277,4
damper,1732417274037992101,4
damper,1732417275038486808,4
damper,1732417276038108985,4
damper,1732417277037868180,4
damper,1732417278038283902,4
damper,1732417279038136582,4
damper,1732417280038622994,4
damper,1732417281039059223,4
damper,1732417282039096743,4
damper,1732417283039929621,4
damper,1732417284039533212,4
damper,1732417285040520419,4
damper,1732417286040524602,4
damper,1732417287040387810,4
damper,1732417288041072453,4
damper,1732417289039944170,4
damper,1732417290040580212,4
damper,1732417291040189778,4
damper,1732417292040007413,4
damper,1732417293040823382,4
damper,1732417294040262008,4
damper,1732417295040911206,4
damper,1732417296041908333,4
damper,1732417297044465555,4
damper,1732417298045528815,4
damper,1732417299045269195,4
damper,1732417300045726314,4
damper,1732417301045634458,4
damper,1732417302046147230,4
damper,1732417303047053517,4
damper,1732417304048016410,4
damper,1732417305048306027,4
damper,1732417306048860397,4
damper,1732417307049222779,4
damper,1732417308049621428,4
damper,1732417309049818491,4
damper,1732417310049919135,4
damper,1732417311048997579,4
damper,1732417312049833465,4
damper,1732417313049565109,4
damper,1732417314049024724,4
damper,1732417315049409759,4
damper,1732417316049717068,4
damper,1732417317049299032,4
damper,1732417318049723540,4
damper,1732417319050392073,4
damper,1732417320050838773,4
damper,1732417321050842425,4
damper,1732417322051743974,4
damper,1732417323052714451,4
damper,1732417324052427330,4
damper,1732417325052758884,4
damper,1732417326052993717,4
damper,1732417327053842678,4
damper,1732417328054644440,4
