name,time,value
damper,1736387040075652112,4
damper,1736387041076518870,4
damper,1736387042077241690,4
damper,1736387043078635975,4
damper,1736387044079593394,4
damper,1736387045080708364,4
damper,1736387046081665194,4
damper,1736387047082560553,4
damper,1736387048082838613,4
damper,1736387048659170004,4
damper,1736387049083496542,4
damper,1736387050084717773,4
damper,1736387051084932474,4
damper,1736387052087031134,4
damper,1736387053087326776,4
damper,1736387054087540855,4
damper,1736387055087763842,4
damper,1736387056089205955,4
damper,1736387057089210252,4
damper,1736387058090380027,4
damper,1736387059090739298,4
damper,1736387060090892824,4
damper,1736387061092080725,4
damper,1736387062093208249,4
damper,1736387063093936700,4
damper,1736387064094997741,4
damper,1736387065095851038,4
damper,1736387066097230933,4
damper,1736387067098817697,4
damper,1736387068098696891,4
damper,1736387069098870424,4
damper,1736387070100968804,4
damper,1736387071101601747,4
damper,1736387072102983788,4
damper,1736387073105095201,4
damper,1736387074106814634,4
damper,1736387075107079588,4
damper,1736387076106715606,4
damper,1736387077107395446,4
damper,1736387078107500151,4
damper,1736387079108020744,4
damper,1736387080109357800,4
damper,1736387081109944827,4
damper,1736387082111015997,4
damper,1736387083111673978,4
damper,1736387084111845115,4
damper,1736387085112335793,4
damper,1736387086113589434,4
damper,1736387087113754151,4
damper,1736387088114070261,4
damper,1736387089115254634,4
damper,1736387090115875994,4
damper,1736387091116915346,4
damper,1736387092117910745,4
damper,1736387093117811429,4
damper,1736387094119252931,4
damper,1736387095119753577,4
damper,1736387096119602804,4
damper,1736387097119432886,4
damper,1736387098119275192,4
damper,1736387099119509118,4
damper,1736387100120578747,4
damper,1736387101120911908,4
damper,1736387102121349176,4
damper,1736387103122192110,4
damper,1736387104122568172,4
damper,1736387105122569744,4
damper,1736387106122335396,4
damper,1736387107123018922,4
damper,1736387108123943329,4
damper,1736387109123598504,4
damper,1736387110123313662,4
damper,1736387111123816421,4
damper,1736387112123441460,4
damper,1736387113123497043,4
damper,1736387114123635893,4
damper,1736387115123974856,4
damper,1736387116125373959,4
damper,1736387117125796898,4
damper,1736387118125279672,4
damper,1736387119126192647,4
damper,1736387120126551828,4
damper,1736387121126839184,4
damper,1736387122127624371,4
damper,1736387123127918971,4
damper,1736387124129497870,4
damper,1736387125130230207,4
damper,1736387126131100713,4
damper,1736387127132625561,4
damper,1736387128132992156,4
damper,1736387129133690079,4
damper,1736387130133927132,4
damper,1736387131135542579,4
damper,1736387132135398009,4
damper,1736387133135693941,4
damper,1736387134136670976,4
damper,1736387135136816207,4
damper,1736387136137183022,4
damper,1736387137138031256,4
damper,1736387138137328663,4
damper,1736387139138259431,4
damper,1736387140138269550,4
damper,1736387141138965049,4
damper,1736387142140094489,4
damper,1736387143141167533,4
damper,1736387144141619066,4
damper,1736387145141481348,4
damper,1736387146142209608,4
damper,1736387147143136008,4
damper,1736387148142601840,4
damper,1736387149143620292,4
damper,1736387150143507090,4
damper,1736387151143868636,4
damper,1736387152145159697,4
damper,1736387153146222562,4
damper,1736387154147625132,4
damper,1736387155147743833,4
damper,1736387156148507219,4
damper,1736387157148618406,4
damper,1736387158148504433,4
damper,1736387159149198459,4
damper,1736387160150094974,4
damper,1736387161150694553,4
damper,1736387162150782187,4
damper,1736387163151266000,4
damper,1736387164152018237,4
damper,1736387165151584865,4
damper,1736387166153060090,4
damper,1736387167153821823,4
damper,1736387168154086558,4
damper,1736387169154255642,4
damper,1736387170153565343,4
damper,1736387171153890189,4
damper,1736387172153620996,4
damper,1736387173153698250,4
damper,1736387174154251613,4
damper,1736387175154943836,4
damper,1736387176155356647,4
damper,1736387177156192708,4
damper,1736387178157186705,4
damper,1736387179157992820,4
damper,1736387180159114415,4
damper,1736387181159627393,4
damper,1736387182159992815,4
damper,1736387183160558862,4
damper,1736387184160713250,4
damper,1736387185160688444,4
damper,1736387186161900488,4
damper,1736387187163417972,4
damper,1736387188163597827,4
damper,1736387189164295841,4
damper,1736387190164576495,4
damper,1736387191165160385,4
damper,1736387192165512934,4
damper,1736387193164773342,4
damper,1736387194165768521,4
damper,1736387195165065327,4
damper,1736387196165298673,4
damper,1736387197165635922,4
damper,1736387198166086834,4
damper,1736387199167375681,4
damper,1736387200168222012,4
damper,1736387201168974617,4
damper,1736387202169266803,4
damper,1736387203169499327,4
damper,1736387204169847306,4
damper,1736387205169384902,4
damper,1736387206170145263,4
damper,1736387207170392284,4
damper,1736387208170859175,4
damper,1736387209172721304,4
damper,1736387210170992975,4
damper,1736387211171652266,4
damper,1736387212172406174,4
damper,1736387213172507964,4
damper,1736387214173539089,4
damper,1736387215173638825,4
damper,1736387216173767666,4
damper,1736387217174975923,4
damper,1736387218175987292,4
damper,1736387219176698329,4
damper,1736387220177105960,4
damper,1736387221177294653,4
damper,1736387222177849308,4
damper,1736387223178814471,4
damper,1736387224180329240,4
damper,1736387225180658445,4
damper,1736387226180610916,4
damper,1736387227180979604,4
damper,1736387228180874638,4
damper,1736387229180471996,4
damper,1736387230181084459,4
damper,1736387231181958221,4
damper,1736387232181908969,4
damper,1736387233182993805,4
damper,1736387234185685993,4
damper,1736387235186446444,4
damper,1736387236187271215,4
damper,1736387237188287523,4
damper,1736387238189013958,4
damper,1736387239188727464,4
damper,1736387240188559810,4
damper,1736387241189122481,4
damper,1736387242189016352,4
damper,1736387243189662228,4
damper,1736387244189205657,4
damper,1736387245190583067,4
damper,1736387246190935552,4
damper,1736387247191330297,4
damper,1736387248190740411,4
damper,1736387249191061549,4
damper,1736387250191698415,4
damper,1736387251192188868,4
damper,1736387252191476574,4
damper,1736387253192891704,4
damper,1736387254192945898,4
damper,1736387255193429540,4
damper,1736387256194399351,4
damper,1736387257194908548,4
damper,1736387258196259328,4
damper,1736387259197147752,4
damper,1736387260197298450,4
damper,1736387261197768545,4
damper,1736387262198827981,4
damper,1736387263198893832,4
damper,1736387264198928864,4
damper,1736387265198301239,4
damper,1736387266198833741,4
damper,1736387267198423141,4
damper,1736387268198893165,4
damper,1736387269199237884,4
damper,1736387270200521467,4
damper,1736387271201409414,4
damper,1736387272202130746,4
damper,1736387273203175635,4
damper,1736387274204143619,4
damper,1736387275204410715,4
damper,1736387276204846424,4
damper,1736387277206427487,4
damper,1736387278206969366,4
damper,1736387279207349592,4
damper,1736387280207403428,4
damper,1736387281207843207,4
damper,1736387282207761200,4
damper,1736387283208551294,4
damper,1736387284209481669,4
damper,1736387285210474540,4
damper,1736387286211332659,4
damper,1736387287212086395,4
damper,1736387288212505736,4
damper,1736387289213474512,4
damper,1736387290214782380,4
damper,1736387291214649621,4
damper,1736387292215580005,4
damper,1736387293216598103,4
damper,1736387294217133830,4
damper,1736387295217400495,4
damper,1736387296218398927,4
damper,1736387297219540558,4
damper,1736387298220544610,4
damper,1736387299222123625,4
damper,1736387300222655065,4
damper,1736387301223704924,4
damper,1736387302224759389,4
damper,1736387303225504352,4
damper,1736387304225859248,4
damper,1736387305226781719,4
damper,1736387306227340009,4
damper,1736387307228114902,4
damper,1736387308229190397,4
damper,1736387309230304466,4
damper,1736387310231590575,4
damper,1736387311231661305,4
damper,1736387312232560241,4
damper,1736387313232864636,4
damper,1736387314233019493,4
damper,1736387315233956641,4
damper,1736387316234199962,4
damper,1736387317234963916,4
damper,1736387318235182811,4
damper,1736387319236496251,4
damper,1736387320237860546,4
damper,1736387321238899032,4
damper,1736387322239262759,4
damper,1736387323239539635,4
damper,1736387324239484868,4
damper,1736387325240764715,4
damper,1736387326240972471,4
damper,1736387327241017422,4
damper,1736387328242320834,4
damper,1736387329242827236,4
damper,1736387330243295246,4
damper,1736387331243664964,4
damper,1736387332244090457,4
damper,1736387333244635300,4
damper,1736387334245097540,4
damper,1736387335245850693,4
damper,1736387336246467343,4
damper,1736387337247083380,4
damper,1736387338247530712,4
damper,1736387339248318832,4
damper,1736387340249544478,4
damper,1736387341249273859,4
damper,1736387342249676667,4
damper,1736387343249677296,4
damper,1736387344249808128,4
damper,1736387345249667972,4
damper,1736387346250917082,4
damper,1736387347252121469,4
damper,1736387348252657818,4
damper,1736387349252237589,4
damper,1736387350253231602,4
damper,1736387351254451026,4
damper,1736387352255516042,4
damper,1736387353256981978,4
damper,1736387354258169222,4
damper,1736387355258465563,4
damper,1736387356259198308,4
damper,1736387357260470310,4
damper,1736387358261574460,4
damper,1736387359262758209,4
damper,1736387360264220437,4
damper,1736387361264556211,4
damper,1736387362265014033,4
damper,1736387363264304655,4
damper,1736387364263953765,4
damper,1736387365265202735,4
damper,1736387366265509856,4
damper,1736387367264920122,4
damper,1736387368265336247,4
damper,1736387369266096593,4
damper,1736387370266420005,4
damper,1736387371266120443,4
damper,1736387372265605218,4
damper,1736387373266352150,4
damper,1736387374267730151,4
damper,1736387375268169088,4
damper,1736387376268105064,4
damper,1736387377268715001,4
damper,1736387378269161503,4
damper,1736387379269584872,4
damper,1736387380270138293,4
damper,1736387381271938574,4
damper,1736387382271727035,4
damper,1736387383272171874,4
damper,1736387384273166919,4
damper,1736387385273280269,4
damper,1736387386273380383,4
damper,1736387387274244314,4
damper,1736387388275315152,4
damper,1736387389276651275,4
damper,1736387390277582061,4
damper,1736387391278274040,4
damper,1736387392279991616,4
damper,1736387393280377954,4
damper,1736387394281332553,4
damper,1736387395281777602,4
damper,1736387396281803847,4
damper,1736387397282672597,4
damper,1736387398283191903,4
damper,1736387399283655386,4
damper,1736387400283838975,4
damper,1736387401284521227,4
damper,1736387402285770167,4
damper,1736387403285901248,4
damper,1736387404285870767,4
damper,1736387405286020385,4
damper,1736387406285330854,4
damper,1736387407285909862,4
damper,1736387408285660042,4
damper,1736387409286115501,4
damper,1736387410286175519,4
damper,1736387411286651375,4
damper,1736387412287252753,4
damper,1736387413287061823,4
damper,1736387414288259607,4
damper,1736387415288923595,4
damper,1736387416289388539,4
damper,1736387417291109270,4
damper,1736387418290382730,4
damper,1736387419290990130,4
damper,1736387420291353317,4
damper,1736387421291991124,4
damper,1736387422292867989,4
damper,1736387423293319309,4
damper,1736387424293828437,4
damper,1736387425295767765,4
damper,1736387426296802546,4
damper,1736387427298445963,4
damper,1736387428298814086,4
damper,1736387429299888500,4
damper,1736387430301677548,4
damper,1736387431302953649,4
damper,1736387432304233377,4
damper,1736387433304919344,4
damper,1736387434305276600,4
damper,1736387435306112367,4
damper,1736387436306803876,4
damper,1736387437307291753,4
damper,1736387438307233131,4
damper,1736387439308131546,4
damper,1736387440308013511,4
damper,1736387441308335038,4
damper,1736387442308833957,4
damper,1736387443309478146,4
damper,1736387444310759225,4
damper,1736387445311960275,4
damper,1736387446311866828,4
