name,time,value
powerfactor,1736387040326405858,0.1
powerfactor,1736387041245625280,0.1
powerfactor,1736387042240898109,0.1
powerfactor,1736387043250966566,0.1
powerfactor,1736387044249974853,0.1
powerfactor,1736387045266910178,0.1
powerfactor,1736387046250776932,0.1
powerfactor,1736387047252771315,0.1
powerfactor,1736387048258000825,0.1
powerfactor,1736387049248804316,0.06
powerfactor,1736387050250071231,0.06
powerfactor,1736387051251044038,0.06
powerfactor,1736387052251989053,0.06
powerfactor,1736387053257430477,0.06
powerfactor,1736387054250691268,0.06
powerfactor,1736387055248381664,0.06
powerfactor,1736387056249616811,0.06
powerfactor,1736387057250948529,0.06
powerfactor,1736387058247493513,0.06
powerfactor,1736387059258731286,0.06
powerfactor,1736387060258213419,0.06
powerfactor,1736387061239441773,0.06
powerfactor,1736387062358580222,0.06
powerfactor,1736387063257676253,0.06
powerfactor,1736387064256040328,0.06
powerfactor,1736387065257369592,0.06
powerfactor,1736387066255095051,0.06
powerfactor,1736387067251291065,0.06
powerfactor,1736387068253331797,0.06
powerfactor,1736387069262333071,0.06
powerfactor,1736387070255374714,0.06
powerfactor,1736387071250062710,0.06
powerfactor,1736387072252163544,0.06
powerfactor,1736387073261632943,0.06
powerfactor,1736387074253632187,0.06
powerfactor,1736387075251451933,0.06
powerfactor,1736387076251548643,0.06
powerfactor,1736387077259710319,0.06
powerfactor,1736387078262500620,0.06
powerfactor,1736387079251744678,0.06
powerfactor,1736387080255248273,0.06
powerfactor,1736387081322439485,0.06
powerfactor,1736387082262765353,0.06
powerfactor,1736387083253994210,0.06
powerfactor,1736387084251910446,0.06
powerfactor,1736387085252855712,0.06
powerfactor,1736387086261587993,0.06
powerfactor,1736387087255344119,0.06
powerfactor,1736387088251390815,0.06
powerfactor,1736387089243640096,0.06
powerfactor,1736387090259887817,0.06
powerfactor,1736387091257636381,0.06
powerfactor,1736387092252425216,0.06
powerfactor,1736387093258646508,0.06
powerfactor,1736387094278738679,0.06
powerfactor,1736387095260430820,0.06
powerfactor,1736387096257732920,0.06
powerfactor,1736387097253753797,0.06
powerfactor,1736387098248268029,0.06
powerfactor,1736387099262696000,0.06
powerfactor,1736387100260143141,0.06
powerfactor,1736387101253807396,0.06
powerfactor,1736387102249269549,0.06
powerfactor,1736387103262095959,0.06
powerfactor,1736387104259132543,0.06
powerfactor,1736387105253870252,0.06
powerfactor,1736387106256386402,0.06
powerfactor,1736387107263676469,0.06
powerfactor,1736387108265977006,0.06
powerfactor,1736387109264114386,0.06
powerfactor,1736387110255171120,0.06
powerfactor,1736387111262120351,0.06
powerfactor,1736387112264728883,0.06
powerfactor,1736387113258771725,0.06
powerfactor,1736387114256009906,0.06
powerfactor,1736387115256260784,0.06
powerfactor,1736387116265766380,0.06
powerfactor,1736387117262753251,0.06
powerfactor,1736387118255298476,0.06
powerfactor,1736387119248848878,0.06
powerfactor,1736387120267405321,0.06
powerfactor,1736387121270440811,0.06
powerfactor,1736387122312207851,0.06
powerfactor,1736387123296003611,0.06
powerfactor,1736387124261917118,0.06
powerfactor,1736387125267664393,0.06
powerfactor,1736387126260784752,0.06
powerfactor,1736387127257208050,0.06
powerfactor,1736387128258479164,0.06
powerfactor,1736387129264452943,0.06
powerfactor,1736387130265487415,0.06
powerfactor,1736387131258768784,0.06
powerfactor,1736387132257311782,0.06
powerfactor,1736387133267782281,0.06
powerfactor,1736387134265771324,0.06
powerfactor,1736387135257748537,0.06
powerfactor,1736387136269180482,0.06
powerfactor,1736387137265827478,0.06
powerfactor,1736387138268511441,0.06
powerfactor,1736387139266894290,0.06
powerfactor,1736387140269186201,0.06
powerfactor,1736387141318681838,0.06
powerfactor,1736387142268434426,0.06
powerfactor,1736387143266980891,0.06
powerfactor,1736387144257925926,0.06
powerfactor,1736387145261470597,0.06
powerfactor,1736387146266831891,0.06
powerfactor,1736387147265383896,0.06
powerfactor,1736387148259923135,0.06
powerfactor,1736387149257776244,0.06
powerfactor,1736387150267240724,0.06
powerfactor,1736387151264523007,0.06
powerfactor,1736387152265342096,0.06
powerfactor,1736387153267334187,0.06
powerfactor,1736387154267292559,0.06
powerfactor,1736387155269130883,0.06
powerfactor,1736387156266881380,0.06
powerfactor,1736387157265855283,0.06
powerfactor,1736387158258562090,0.06
powerfactor,1736387159268440863,0.06
powerfactor,1736387160266087897,0.06
powerfactor,1736387161259666401,0.06
powerfactor,1736387162255964055,0.06
powerfactor,1736387163357933012,0.06
powerfactor,1736387164278713551,0.06
powerfactor,1736387165265781695,0.06
powerfactor,1736387166264670477,0.06
powerfactor,1736387167268886582,0.06
powerfactor,1736387168271938734,0.06
powerfactor,1736387169271072565,0.06
powerfactor,1736387170260798523,0.06
powerfactor,1736387171265843647,0.06
powerfactor,1736387172268572124,0.06
powerfactor,1736387173267361732,0.06
powerfactor,1736387174260159718,0.06
powerfactor,1736387175260616882,0.06
powerfactor,1736387176270165959,0.06
powerfactor,1736387177267185532,0.06
powerfactor,1736387178267188938,0.06
powerfactor,1736387179260193800,0.06
powerfactor,1736387180269930999,0.06
powerfactor,1736387181263448369,0.06
powerfactor,1736387182268918748,0.06
powerfactor,1736387183270193939,0.06
powerfactor,1736387184267960487,0.06
powerfactor,1736387185271296919,0.06
powerfactor,1736387186269551078,0.06
powerfactor,1736387187262067037,0.06
powerfactor,1736387188265331675,0.06
powerfactor,1736387189271818623,0.06
powerfactor,1736387190268605750,0.06
powerfactor,1736387191269874921,0.06
powerfactor,1736387192262420997,0.06
powerfactor,1736387193270880970,0.06
powerfactor,1736387194268431654,0.06
powerfactor,1736387195269646453,0.06
powerfactor,1736387196255944157,0.06
powerfactor,1736387197268198147,0.06
powerfactor,1736387198276479647,0.06
powerfactor,1736387199270658613,0.06
powerfactor,1736387200272441964,0.06
powerfactor,1736387201267496996,0.06
powerfactor,1736387202269353494,0.06
powerfactor,1736387203269756867,0.06
powerfactor,1736387204366322911,0.06
powerfactor,1736387205260289672,0.06
powerfactor,1736387206272335593,0.06
powerfactor,1736387207270112680,0.06
powerfactor,1736387208269877961,0.06
powerfactor,1736387209258184017,0.06
powerfactor,1736387210270879532,0.06
powerfactor,1736387211266648929,0.06
powerfactor,1736387212269681012,0.06
powerfactor,1736387213274482992,0.06
powerfactor,1736387214273964633,0.06
powerfactor,1736387215276372551,0.06
powerfactor,1736387216273306864,0.06
powerfactor,1736387217278363569,0.06
powerfactor,1736387218314795063,0.06
powerfactor,1736387219279515982,0.06
powerfactor,1736387220275801753,0.06
powerfactor,1736387221272307666,0.06
powerfactor,1736387222276497963,0.06
powerfactor,1736387223276590345,0.06
powerfactor,1736387224275596709,0.06
powerfactor,1736387225273835148,0.06
powerfactor,1736387226273934323,0.06
powerfactor,1736387227275991225,0.06
powerfactor,1736387228278859763,0.06
powerfactor,1736387229277582457,0.06
powerfactor,1736387230278775525,0.06
powerfactor,1736387231271365192,0.06
powerfactor,1736387232276231963,0.06
powerfactor,1736387233274236065,0.06
powerfactor,1736387234273684203,0.06
powerfactor,1736387235267699995,0.06
powerfactor,1736387236279008829,0.06
powerfactor,1736387237273194548,0.06
powerfactor,1736387238276568008,0.06
powerfactor,1736387239275329796,0.06
powerfactor,1736387240278352261,0.06
powerfactor,1736387241275358398,0.06
powerfactor,1736387242273391664,0.06
powerfactor,1736387243283153789,0.06
powerfactor,1736387244276420581,0.06
powerfactor,1736387245364592239,0.06
powerfactor,1736387246279656829,0.06
powerfactor,1736387247278088938,0.06
powerfactor,1736387248275473299,0.06
powerfactor,1736387249286737247,0.06
powerfactor,1736387250279472463,0.06
powerfactor,1736387251277998326,0.06
powerfactor,1736387252279506180,0.06
powerfactor,1736387253282255472,0.06
powerfactor,1736387254279808777,0.06
powerfactor,1736387255279802273,0.06
powerfactor,1736387256279225582,0.06
powerfactor,1736387257280773119,0.06
powerfactor,1736387258339874805,0.06
powerfactor,1736387259280135520,0.06
powerfactor,1736387260276108895,0.06
powerfactor,1736387261277424680,0.06
powerfactor,1736387262282418044,0.06
powerfactor,1736387263283781699,0.06
powerfactor,1736387264292996138,0.06
powerfactor,1736387265277453503,0.06
powerfactor,1736387266291249089,0.06
powerfactor,1736387267277513328,0.06
powerfactor,1736387268275772392,0.06
powerfactor,1736387269278357556,0.06
powerfactor,1736387270280767906,0.06
powerfactor,1736387271277777877,0.06
powerfactor,1736387272274505860,0.06
powerfactor,1736387273286363697,0.06
powerfactor,1736387274277826126,0.06
powerfactor,1736387275282097371,0.06
powerfactor,1736387276280314106,0.06
powerfactor,1736387277279125663,0.06
powerfactor,1736387278279874309,0.06
powerfactor,1736387279281630506,0.06
powerfactor,1736387280363551747,0.06
powerfactor,1736387281278978725,0.06
powerfactor,1736387282280965102,0.06
powerfactor,1736387283283660394,0.06
powerfactor,1736387284807758643,0.06
powerfactor,1736387285277720252,0.06
powerfactor,1736387286277486743,0.06
powerfactor,1736387287279534936,0.06
powerfactor,1736387288285233348,0.06
powerfactor,1736387289274839158,0.06
powerfactor,1736387290277328104,0.06
powerfactor,1736387291282728980,0.06
powerfactor,1736387292280860616,0.06
powerfactor,1736387293279363396,0.06
powerfactor,1736387294278110372,0.06
powerfactor,1736387295269631481,0.06
powerfactor,1736387296280916167,0.06
powerfactor,1736387297278159385,0.06
powerfactor,1736387298277425521,0.06
powerfactor,1736387299301654184,0.06
powerfactor,1736387300280968302,0.06
powerfactor,1736387301278444114,0.06
powerfactor,1736387302278323165,0.06
powerfactor,1736387303286494841,0.06
powerfactor,1736387304280302576,0.06
powerfactor,1736387305284808210,0.06
powerfactor,1736387306282844829,0.06
powerfactor,1736387307277129109,0.06
powerfactor,1736387308278857164,0.06
powerfactor,1736387309282603318,0.06
powerfactor,1736387310278863058,0.06
powerfactor,1736387311280905841,0.06
powerfactor,1736387312276902761,0.06
powerfactor,1736387313280925393,0.06
powerfactor,1736387314279887150,0.06
powerfactor,1736387315275945013,0.06
powerfactor,1736387316277914038,0.06
powerfactor,1736387317281763325,0.06
powerfactor,1736387318287897440,0.06
powerfactor,1736387319277535761,0.06
powerfactor,1736387320276082163,0.06
powerfactor,1736387321383431813,0.06
powerfactor,1736387322281539852,0.06
powerfactor,1736387323283320235,0.06
powerfactor,1736387324276317691,0.06
powerfactor,1736387325276042523,0.06
powerfactor,1736387326279588274,0.06
powerfactor,1736387327276372544,0.06
powerfactor,1736387328277931894,0.06
powerfactor,1736387329276419014,0.06
powerfactor,1736387330280438158,0.06
powerfactor,1736387331278081693,0.06
powerfactor,1736387332275951802,0.06
powerfactor,1736387333291968307,0.06
powerfactor,1736387334283716118,0.06
powerfactor,1736387335287497549,0.06
powerfactor,1736387336284479969,0.06
powerfactor,1736387337282894384,0.06
powerfactor,1736387338282755371,0.06
powerfactor,1736387339406089909,0.06
powerfactor,1736387340310953746,0.06
powerfactor,1736387341282226623,0.06
powerfactor,1736387342282860654,0.06
powerfactor,1736387343286340181,0.06
powerfactor,1736387344280864880,0.06
powerfactor,1736387345283963295,0.06
powerfactor,1736387346282644558,0.06
powerfactor,1736387347281749813,0.06
powerfactor,1736387348283190001,0.06
powerfactor,1736387349318129762,0.06
powerfactor,1736387350307561198,0.06
powerfactor,1736387351282683543,0.06
powerfactor,1736387352285362605,0.06
powerfactor,1736387353283089506,0.06
powerfactor,1736387354282270533,0.06
powerfactor,1736387355273511177,0.06
powerfactor,1736387356284786536,0.06
powerfactor,1736387357282870744,0.06
powerfactor,1736387358282041753,0.06
powerfactor,1736387359276561363,0.06
powerfactor,1736387360284839873,0.06
powerfactor,1736387361281563681,0.06
powerfactor,1736387362285328420,0.06
powerfactor,1736387363327612792,0.06
powerfactor,1736387364284450914,0.06
powerfactor,1736387365289428668,0.06
powerfactor,1736387366282140061,0.06
powerfactor,1736387367288153551,0.06
powerfactor,1736387368290262438,0.06
powerfactor,1736387369285967321,0.06
powerfactor,1736387370283607321,0.06
powerfactor,1736387371283993860,0.06
powerfactor,1736387372283229489,0.06
powerfactor,1736387373286231624,0.06
powerfactor,1736387376619810637,0.06
powerfactor,1736387376671109400,0.06
powerfactor,1736387376719453686,0.06
powerfactor,1736387377704066330,0.06
powerfactor,1736387378715366035,0.06
powerfactor,1736387379716223234,0.06
powerfactor,1736387380712398727,0.06
powerfactor,1736387381711080212,0.06
powerfactor,1736387382714081585,0.06
powerfactor,1736387383710972605,0.06
powerfactor,1736387384712668921,0.06
powerfactor,1736387385713941556,0.06
powerfactor,1736387386715195505,0.06
powerfactor,1736387387717852876,0.06
powerfactor,1736387388715249952,0.06
powerfactor,1736387389713294456,0.06
powerfactor,1736387390704776712,0.06
powerfactor,1736387391715585479,0.06
powerfactor,1736387392713333921,0.06
powerfactor,1736387393724118361,0.06
powerfactor,1736387394718603788,0.06
powerfactor,1736387395720078058,0.06
powerfactor,1736387396716155758,0.06
powerfactor,1736387397718645254,0.06
powerfactor,1736387398721505724,0.06
powerfactor,1736387399719443229,0.06
powerfactor,1736387400720955792,0.06
powerfactor,1736387401717941698,0.06
powerfactor,1736387402722723366,0.06
powerfactor,1736387403709206946,0.06
powerfactor,1736387404721505955,0.06
powerfactor,1736387405718525246,0.06
powerfactor,1736387406718939427,0.06
powerfactor,1736387407721300254,0.06
powerfactor,1736387408720811257,0.06
powerfactor,1736387409739688756,0.06
powerfactor,1736387410736064423,0.06
powerfactor,1736387411717248531,0.06
powerfactor,1736387412718864065,0.06
powerfactor,1736387413725488927,0.06
powerfactor,1736387414717924313,0.06
powerfactor,1736387415718325168,0.06
powerfactor,1736387416718674257,0.06
powerfactor,1736387417721573159,0.06
powerfactor,1736387418718704226,0.06
powerfactor,1736387419745300844,0.06
powerfactor,1736387420721522585,0.06
powerfactor,1736387421720785224,0.06
powerfactor,1736387422719068512,0.06
powerfactor,1736387423734035899,0.06
powerfactor,1736387424724546229,0.06
powerfactor,1736387425725551344,0.06
powerfactor,1736387426731029714,0.06
powerfactor,1736387427713541193,0.06
powerfactor,1736387428725379670,0.06
powerfactor,1736387429724662900,0.06
powerfactor,1736387430728596786,0.06
powerfactor,1736387431825917795,0.06
powerfactor,1736387432724703477,0.06
powerfactor,1736387433723407914,0.06
powerfactor,1736387434727221695,0.06
powerfactor,1736387435727094945,0.06
powerfactor,1736387436731036784,0.06
powerfactor,1736387437726004641,0.06
powerfactor,1736387438728768371,0.06
powerfactor,1736387439722804777,0.06
powerfactor,1736387440739090204,0.06
powerfactor,1736387441718453491,0.06
powerfactor,1736387442724829708,0.06
powerfactor,1736387443729429707,0.06
powerfactor,1736387444727599564,0.06
