name,time,value
system,1736387040325491510,1
system,1736387041225812039,1
system,1736387042220293540,1
system,1736387043228326053,1
system,1736387044228126611,1
system,1736387045266737586,1
system,1736387046228646613,1
system,1736387047235341316,1
system,1736387048233295175,1
system,1736387049227721193,1
system,1736387050227385625,1
system,1736387051228832157,1
system,1736387052235828926,1
system,1736387053227960628,1
system,1736387054228446075,1
system,1736387055229205132,1
system,1736387056230012620,1
system,1736387057231651523,1
system,1736387058227553836,1
system,1736387059231087067,1
system,1736387060231249521,1
system,1736387061218755371,1
system,1736387062229906070,1
system,1736387063239323580,1
system,1736387064233136033,1
system,1736387065234397510,1
system,1736387066236634988,1
system,1736387067232029836,1
system,1736387068238255404,1
system,1736387069233916138,1
system,1736387070233216513,1
system,1736387071232462422,1
system,1736387072233191074,1
system,1736387073235543879,1
system,1736387074234102686,1
system,1736387075232274440,1
system,1736387076233854421,1
system,1736387077239106191,1
system,1736387078237348987,1
system,1736387079231367614,1
system,1736387080231781397,1
system,1736387081322085334,1
system,1736387082237779580,1
system,1736387083233874436,1
system,1736387084232470402,1
system,1736387085233154610,1
system,1736387086235554513,1
system,1736387087234849055,1
system,1736387088236645721,1
system,1736387089223524230,1
system,1736387090241860962,1
system,1736387091236029469,1
system,1736387092232064653,1
system,1736387093240422626,1
system,1736387094236609061,1
system,1736387095236151436,1
system,1736387096235181554,1
system,1736387097233767954,1
system,1736387098231129073,1
system,1736387099236592869,1
system,1736387100244100764,1
system,1736387101233182448,1
system,1736387102225438824,1
system,1736387103236136827,1
system,1736387104235551484,1
system,1736387105232890993,1
system,1736387106237657466,1
system,1736387107242106757,1
system,1736387108239483056,1
system,1736387109235472744,1
system,1736387110240668740,1
system,1736387111236480486,1
system,1736387112239749452,1
system,1736387113237308873,1
system,1736387114234825965,1
system,1736387115235321570,1
system,1736387116240344072,1
system,1736387117238626603,1
system,1736387118237629851,1
system,1736387119228631111,1
system,1736387120244418391,1
system,1736387121238879645,1
system,1736387122310448074,1
system,1736387123293184234,1
system,1736387124238927894,1
system,1736387125241210768,1
system,1736387126237202691,1
system,1736387127236702075,1
system,1736387128238727789,1
system,1736387129244451721,1
system,1736387130240258928,1
system,1736387131236822769,1
system,1736387132240027526,1
system,1736387133241121068,1
system,1736387134240332445,1
system,1736387135237384417,1
system,1736387136247652578,1
system,1736387137244994182,1
system,1736387138242910619,1
system,1736387139240169779,1
system,1736387140247961594,1
system,1736387141315443649,1
system,1736387142240951989,1
system,1736387143239507020,1
system,1736387144237030724,1
system,1736387145238699881,1
system,1736387146239873854,1
system,1736387147240066383,1
system,1736387148237320303,1
system,1736387149237319602,1
system,1736387150240136493,1
system,1736387151239822176,1
system,1736387152240843133,1
system,1736387153246978202,1
system,1736387154243423011,1
system,1736387155243317243,1
system,1736387156241909584,1
system,1736387157241811891,1
system,1736387158240789681,1
system,1736387159244305087,1
system,1736387160244223094,1
system,1736387161238979228,1
system,1736387162231256883,1
system,1736387163356523790,1
system,1736387164243348250,1
system,1736387165243648010,1
system,1736387166240943065,1
system,1736387167248347155,1
system,1736387168242670301,1
system,1736387169243675819,1
system,1736387170239347503,1
system,1736387171240895965,1
system,1736387172242906470,1
system,1736387173242670489,1
system,1736387174239409006,1
system,1736387175241451151,1
system,1736387176243014390,1
system,1736387177242530035,1
system,1736387178243920322,1
system,1736387179239970904,1
system,1736387180242831197,1
system,1736387181252298041,1
system,1736387182267055657,1
system,1736387183249814671,1
system,1736387184247147639,1
system,1736387185248370563,1
system,1736387186244857380,1
system,1736387187240921828,1
system,1736387188245124789,1
system,1736387189245187897,1
system,1736387190247196388,1
system,1736387191244884088,1
system,1736387192244763884,1
system,1736387193245197433,1
system,1736387194245487555,1
system,1736387195246951379,1
system,1736387196234470355,1
system,1736387197250515356,1
system,1736387198244028057,1
