name,time,value
temp,1736387040325591727,45.15
temp,1736387041229205408,45.15
temp,1736387042225746286,45.15
temp,1736387043238498295,45.15
temp,1736387044239575157,45.15
temp,1736387045267038588,45.15
temp,1736387046232090807,45.15
temp,1736387047235955133,45.15
temp,1736387048235315098,45.15
temp,1736387049231614676,45.15
temp,1736387050231876443,45.15
temp,1736387051235423459,45.15
temp,1736387052236359507,45.15
temp,1736387053238685562,45.15
temp,1736387054232711252,45.15
temp,1736387055232252655,45.15
temp,1736387056236598793,45.15
temp,1736387057235079126,45.15
temp,1736387058232481431,45.15
temp,1736387059238022472,45.15
temp,1736387060241747541,45.15
temp,1736387061224475997,45.15
temp,1736387062358394305,45.15
temp,1736387063243044762,44.9
temp,1736387064241897049,45.15
temp,1736387065237612696,45.15
temp,1736387066238137885,45.15
temp,1736387067235173228,45.15
temp,1736387068238620226,45.15
temp,1736387069247873400,45.15
temp,1736387070236141086,45.15
temp,1736387071245399819,45.15
temp,1736387072237383325,45.15
temp,1736387073245706262,45.15
temp,1736387074237762342,45.15
temp,1736387075240554657,45.15
temp,1736387076236711267,45.15
temp,1736387077240032411,45.15
temp,1736387078242741991,45.15
temp,1736387079235781940,45.15
temp,1736387080235290402,45.15
temp,1736387081322030682,45.15
temp,1736387082242847206,45.15
temp,1736387083240068256,45.15
temp,1736387084235855035,45.15
temp,1736387085236692559,45.15
temp,1736387086248830061,45.15
temp,1736387087238421348,45.15
temp,1736387088237220485,45.15
temp,1736387089228235310,45.15
temp,1736387090244509660,45.15
temp,1736387091241547998,45.15
temp,1736387092236596799,45.15
temp,1736387093244459907,45.28
temp,1736387094242971026,45.28
temp,1736387095244235267,45.28
temp,1736387096239439117,45.28
temp,1736387097237025680,45.28
temp,1736387098231488675,45.28
temp,1736387099241315842,45.28
temp,1736387100245081106,45.28
temp,1736387101238851949,45.28
temp,1736387102232662848,45.28
temp,1736387103245409528,45.28
temp,1736387104244879859,45.28
temp,1736387105236660013,45.28
temp,1736387106240406191,45.28
temp,1736387107246729812,45.28
temp,1736387108246933764,45.28
temp,1736387109239241705,45.28
temp,1736387110241213217,45.28
temp,1736387111245829370,45.28
temp,1736387112244247805,45.28
temp,1736387113242145668,45.28
temp,1736387114239914129,45.28
temp,1736387115239830463,45.28
temp,1736387116251807606,45.28
temp,1736387117247472507,45.28
temp,1736387118239344384,45.28
temp,1736387119233112342,45.28
temp,1736387120248843688,45.28
temp,1736387121245116455,45.28
temp,1736387122312066887,45.28
temp,1736387123295281562,45.15
temp,1736387124248152195,46.09
temp,1736387125247935870,46.09
temp,1736387126246433654,46.09
temp,1736387127241442360,46.09
temp,1736387128243225050,46.09
temp,1736387129245199438,46.09
temp,1736387130248523947,46.09
temp,1736387131241730156,46.09
temp,1736387132241579154,46.09
temp,1736387133250814235,46.09
temp,1736387134249812804,46.09
temp,1736387135241539299,46.09
temp,1736387136253126603,46.09
temp,1736387137245904071,46.09
temp,1736387138249364385,46.09
temp,1736387139249401263,46.09
temp,1736387140253151308,46.09
temp,1736387141316562068,46.09
temp,1736387142248901379,46.09
temp,1736387143249935370,46.09
temp,1736387144242188148,46.09
temp,1736387145242958817,46.09
temp,1736387146253295976,46.09
temp,1736387147248795279,46.09
temp,1736387148242556294,46.09
temp,1736387149242788197,46.09
temp,1736387150252057151,46.09
temp,1736387151248976225,46.09
temp,1736387152249370421,46.09
temp,1736387153251374315,46.09
temp,1736387154250339020,45.28
temp,1736387155250075788,45.28
temp,1736387156250622289,45.28
temp,1736387157251899574,45.28
temp,1736387158240767530,45.28
temp,1736387159249704944,45.28
temp,1736387160250010885,45.28
temp,1736387161244972123,45.28
temp,1736387162240226668,45.28
temp,1736387163357018394,45.28
temp,1736387164254022870,45.28
temp,1736387165248518347,45.28
temp,1736387166249064496,45.28
temp,1736387167249249901,45.28
temp,1736387168250884565,45.28
temp,1736387169255090401,45.28
temp,1736387170244851755,45.28
temp,1736387171249862745,45.28
temp,1736387172253586360,45.28
temp,1736387173250615410,45.28
temp,1736387174243685645,45.28
temp,1736387175245447726,45.28
temp,1736387176256835017,45.28
temp,1736387177250452304,45.28
temp,1736387178247696336,45.28
temp,1736387179244215152,45.28
temp,1736387180254277168,45.28
temp,1736387181253117431,45.28
temp,1736387182268001915,45.28
temp,1736387183254301923,45.84
temp,1736387184251036654,46.09
temp,1736387185251801512,46.09
temp,1736387186252053803,46.09
temp,1736387187246868046,46.09
temp,1736387188249343960,46.09
temp,1736387189253885594,46.09
temp,1736387190252542705,46.09
temp,1736387191253981482,46.09
temp,1736387192246672159,46.09
temp,1736387193257330518,46.09
temp,1736387194252176560,46.09
temp,1736387195252179836,46.09
temp,1736387196239963786,46.09
temp,1736387197251428592,46.09
temp,1736387198252785656,46.09
temp,1736387199252546740,46.09
temp,1736387200255769309,46.09
temp,1736387201249793997,46.09
temp,1736387202252073024,46.09
temp,1736387203252851277,46.09
temp,1736387204366460658,46.09
temp,1736387205241088464,46.09
temp,1736387206252585310,46.09
temp,1736387207253164321,46.09
temp,1736387208252675988,46.09
temp,1736387209242436401,46.09
temp,1736387210257201451,46.09
temp,1736387211251726764,46.09
temp,1736387212253193444,46.09
temp,1736387213260228986,46.15
temp,1736387214258223920,46.65
temp,1736387215258442949,46.65
temp,1736387216257020451,46.65
temp,1736387217257339667,46.65
temp,1736387218313944013,46.65
temp,1736387219256593242,46.65
temp,1736387220259534767,46.65
temp,1736387221257031901,46.65
temp,1736387222257560398,46.65
temp,1736387223261099458,46.65
temp,1736387224260516509,46.65
temp,1736387225260873997,46.65
temp,1736387226259360900,46.65
temp,1736387227256406361,46.65
temp,1736387228255952463,46.65
temp,1736387229258987542,46.65
temp,1736387230259729938,46.65
temp,1736387231255784207,46.65
temp,1736387232258256205,46.65
temp,1736387233258261284,46.65
temp,1736387234257280872,46.65
temp,1736387235252182318,46.65
temp,1736387236265052769,46.65
temp,1736387237271559283,46.65
temp,1736387238259718404,46.65
temp,1736387239258439645,46.65
temp,1736387240262423046,46.65
temp,1736387241258174028,46.65
temp,1736387242254232666,46.65
temp,1736387243277693630,46.15
temp,1736387244260174956,46.65
temp,1736387245364309501,46.65
temp,1736387246262944421,46.65
temp,1736387247265042659,46.65
temp,1736387248256716663,46.65
temp,1736387249260984172,46.65
temp,1736387250262294766,46.65
temp,1736387251264430031,46.65
temp,1736387252263065610,46.65
temp,1736387253265876506,46.65
temp,1736387254262650445,46.65
temp,1736387255262619706,46.65
temp,1736387256262351752,46.65
temp,1736387257260430841,46.65
temp,1736387258339740193,46.65
temp,1736387259262423124,46.65
temp,1736387260262159167,46.65
temp,1736387261260285485,46.65
temp,1736387262261998982,46.65
temp,1736387263262768126,46.65
temp,1736387264264516399,46.65
temp,1736387265262080016,46.65
temp,1736387266268990491,46.65
temp,1736387267261706280,46.65
temp,1736387268269409907,46.65
temp,1736387269264331605,46.65
temp,1736387270264138232,46.65
temp,1736387271261072441,46.65
temp,1736387272266884564,46.65
temp,1736387273270889953,46.15
temp,1736387274260895110,46.15
temp,1736387275262177751,46.15
temp,1736387276263668443,46.15
temp,1736387277262901527,46.15
temp,1736387278263484854,46.15
temp,1736387279262510330,46.15
temp,1736387280363432454,46.15
temp,1736387281264258188,46.15
