name,time,value
powerfactor,1732417200237471691,0.05
powerfactor,1732417201231306413,0.05
powerfactor,1732417202234976492,0.05
powerfactor,1732417203242023947,0.05
powerfactor,1732417204277736500,0.05
powerfactor,1732417205234360717,0.05
powerfactor,1732417206236812491,0.05
powerfactor,1732417207240569601,0.05
powerfactor,1732417208240263194,0.05
powerfactor,1732417209235634857,0.05
powerfactor,1732417210232772036,0.05
powerfactor,1732417211239277881,0.05
powerfactor,1732417212236431470,0.05
powerfactor,1732417213234696056,0.05
powerfactor,1732417214231458786,0.05
powerfactor,1732417215240762574,0.05
powerfactor,1732417216225142591,0.05
powerfactor,1732417217247622976,0.05
powerfactor,1732417218240192637,0.05
powerfactor,1732417219235570260,0.05
powerfactor,1732417220232907212,0.05
powerfactor,1732417221233345776,0.05
powerfactor,1732417222229672602,0.05
powerfactor,1732417223267533577,0.05
powerfactor,1732417224228616680,0.05
powerfactor,1732417225227894367,0.05
powerfactor,1732417226226629901,0.05
powerfactor,1732417227247288624,0.05
powerfactor,1732417228237421133,0.05
powerfactor,1732417229237468136,0.05
powerfactor,1732417230233734820,0.05
powerfactor,1732417231235006790,0.05
powerfactor,1732417232238967232,0.05
powerfactor,1732417233239034923,0.05
powerfactor,1732417234235321193,0.05
powerfactor,1732417235246818960,0.05
powerfactor,1732417236244503030,0.05
powerfactor,1732417237249312004,0.05
powerfactor,1732417238241070719,0.05
powerfactor,1732417239249822707,0.05
powerfactor,1732417240241491886,0.05
powerfactor,1732417241245855480,0.05
powerfactor,1732417242259116178,0.05
powerfactor,1732417243243175314,0.05
powerfactor,1732417244256649189,0.05
powerfactor,1732417245288015126,0.05
powerfactor,1732417246247954903,0.05
powerfactor,1732417247240597680,0.05
powerfactor,1732417248242588112,0.05
powerfactor,1732417249245328785,0.05
powerfactor,1732417250244507878,0.05
powerfactor,1732417251247709762,0.05
powerfactor,1732417252243021492,0.05
powerfactor,1732417253240832018,0.05
powerfactor,1732417254239314990,0.05
powerfactor,1732417255247718568,0.05
powerfactor,1732417256232829800,0.05
powerfactor,1732417257254401036,0.05
powerfactor,1732417258246615262,0.05
powerfactor,1732417259248423323,0.05
powerfactor,1732417260240149829,0.05
powerfactor,1732417261242203930,0.05
powerfactor,1732417262241970489,0.05
powerfactor,1732417263243883306,0.05
powerfactor,1732417264242266742,0.05
powerfactor,1732417265240016706,0.05
powerfactor,1732417266243012275,0.05
powerfactor,1732417267241770911,0.05
powerfactor,1732417268252302863,0.05
powerfactor,1732417269247554671,0.05
powerfactor,1732417270247090159,0.05
powerfactor,1732417271254312951,0.05
powerfactor,1732417272255133217,0.05
powerfactor,1732417273255586059,0.05
powerfactor,1732417274255907373,0.05
powerfactor,1732417275250405181,0.05
powerfactor,1732417276257558122,0.05
powerfactor,1732417277245386506,0.05
powerfactor,1732417278248437820,0.05
powerfactor,1732417279252146811,0.05
powerfactor,1732417280253987603,0.05
powerfactor,1732417281248490582,0.05
powerfactor,1732417282246898539,0.05
powerfactor,1732417283244885804,0.05
powerfactor,1732417284247991384,0.05
powerfactor,1732417285240574126,0.05
powerfactor,1732417286248586102,0.05
powerfactor,1732417287259820455,0.05
powerfactor,1732417288256390624,0.05
powerfactor,1732417289258643375,0.05
powerfactor,1732417290248598112,0.05
powerfactor,1732417291260400587,0.05
powerfactor,1732417292243884890,0.05
powerfactor,1732417293265456859,0.05
powerfactor,1732417294251188941,0.05
powerfactor,1732417295252171080,0.05
powerfactor,1732417296245194387,0.05
powerfactor,1732417297253676151,0.05
powerfactor,1732417298238718034,0.05
powerfactor,1732417299251439835,0.05
powerfactor,1732417300258385320,0.05
powerfactor,1732417301267065494,0.05
powerfactor,1732417302257832588,0.05
powerfactor,1732417303251128914,0.05
powerfactor,1732417304253570198,0.05
powerfactor,1732417305265768683,0.05
powerfactor,1732417306256417096,0.05
powerfactor,1732417307251742551,0.05
powerfactor,1732417308255023563,0.05
powerfactor,1732417309253751503,0.05
powerfactor,1732417310277341300,0.05
powerfactor,1732417311256780189,0.05
powerfactor,1732417312252727095,0.05
powerfactor,1732417313247256174,0.05
powerfactor,1732417314260819487,0.05
powerfactor,1732417315250842291,0.05
powerfactor,1732417316255634154,0.05
powerfactor,1732417317262061391,0.05
powerfactor,1732417318253813945,0.05
powerfactor,1732417319254822514,0.05
powerfactor,1732417320248184954,0.05
powerfactor,1732417321249044465,0.05
powerfactor,1732417322251902617,0.05
powerfactor,1732417323251917069,0.05
powerfactor,1732417324254606917,0.05
powerfactor,1732417325254236089,0.05
powerfactor,1732417326241985328,0.05
powerfactor,1732417327357118280,0.05
powerfactor,1732417328249021497,0.05
powerfactor,1732417329253484516,0.05
powerfactor,1732417330253748434,0.05
powerfactor,1732417331252067680,0.05
powerfactor,1732417332260735521,0.05
powerfactor,1732417333250834047,0.05
powerfactor,1732417334248065823,0.05
powerfactor,1732417335257325039,0.05
powerfactor,1732417336263347331,0.05
powerfactor,1732417337259868219,0.05
powerfactor,1732417338254633279,0.05
powerfactor,1732417339249869228,0.05
powerfactor,1732417340262154213,0.05
powerfactor,1732417341272400813,0.05
powerfactor,1732417342257233585,0.05
powerfactor,1732417343246314307,0.05
powerfactor,1732417344260462733,0.05
powerfactor,1732417345253989019,0.05
powerfactor,1732417346283994916,0.05
powerfactor,1732417347267248850,0.05
powerfactor,1732417348262786552,0.05
powerfactor,1732417349269278840,0.05
powerfactor,1732417350257531689,0.05
powerfactor,1732417351265812589,0.05
powerfactor,1732417352260688816,0.05
powerfactor,1732417353263553510,0.05
powerfactor,1732417354267377737,0.05
powerfactor,1732417355263873606,0.05
powerfactor,1732417356264642246,0.05
powerfactor,1732417357270185001,0.05
powerfactor,1732417358272537721,0.05
powerfactor,1732417359263407466,0.05
powerfactor,1732417360272594568,0.05
powerfactor,1732417361271163681,0.05
powerfactor,1732417362267695390,0.05
powerfactor,1732417363266981542,0.05
powerfactor,1732417364257269871,0.05
powerfactor,1732417365266479965,0.05
powerfactor,1732417366267047820,0.05
powerfactor,1732417367259826028,0.05
powerfactor,1732417368365784749,0.05
powerfactor,1732417369259323848,0.05
powerfactor,1732417370267563840,0.05
powerfactor,1732417371261339543,0.05
powerfactor,1732417372261107665,0.05
powerfactor,1732417373262450730,0.05
powerfactor,1732417374269659947,0.05
powerfactor,1732417375269825582,0.05
powerfactor,1732417376268285651,0.05
powerfactor,1732417377270445449,0.05
powerfactor,1732417378261194548,0.05
powerfactor,1732417379276240570,0.05
powerfactor,1732417380277699620,0.05
powerfactor,1732417381264275967,0.05
powerfactor,1732417382263777613,0.05
powerfactor,1732417383268583543,0.05
powerfactor,1732417384270076876,0.05
powerfactor,1732417385270294898,0.05
powerfactor,1732417386250551545,0.05
powerfactor,1732417387300693845,0.05
powerfactor,1732417388259873714,0.05
powerfactor,1732417389259241369,0.05
powerfactor,1732417390255137811,0.05
powerfactor,1732417391265397394,0.05
powerfactor,1732417392258168631,0.05
powerfactor,1732417393255675090,0.05
powerfactor,1732417394256191428,0.05
powerfactor,1732417395259238734,0.05
powerfactor,1732417396260840059,0.05
powerfactor,1732417397261250511,0.05
powerfactor,1732417398259024951,0.05
powerfactor,1732417399255012053,0.05
powerfactor,1732417400260269997,0.05
powerfactor,1732417401259232655,0.05
powerfactor,1732417402254362934,0.05
powerfactor,1732417403256105494,0.05
powerfactor,1732417404273914246,0.05
powerfactor,1732417405260630555,0.05
powerfactor,1732417406271631221,0.05
powerfactor,1732417407275158142,0.05
powerfactor,1732417408270671529,0.05
powerfactor,1732417409392551080,0.05
powerfactor,1732417410270463500,0.05
powerfactor,1732417411272698520,0.05
powerfactor,1732417412272414544,0.05
powerfactor,1732417413274289020,0.05
powerfactor,1732417414264523279,0.05
powerfactor,1732417415262310933,0.05
powerfactor,1732417416265664159,0.05
powerfactor,1732417417270665254,0.05
powerfactor,1732417418276646617,0.05
powerfactor,1732417419261400753,0.05
powerfactor,1732417420267122483,0.05
powerfactor,1732417421274920519,0.05
powerfactor,1732417422308663415,0.05
powerfactor,1732417423267923674,0.05
powerfactor,1732417424264675854,0.05
powerfactor,1732417425264715443,0.05
powerfactor,1732417426272986824,0.05
powerfactor,1732417427267037740,0.05
powerfactor,1732417428270246156,0.05
powerfactor,1732417429269008341,0.05
powerfactor,1732417430275582262,0.05
powerfactor,1732417431263922905,0.05
powerfactor,1732417432269005261,0.05
powerfactor,1732417433267564846,0.05
powerfactor,1732417434271599614,0.05
powerfactor,1732417435276601519,0.05
powerfactor,1732417436267612810,0.05
powerfactor,1732417437274320170,0.05
powerfactor,1732417438277143608,0.05
powerfactor,1732417439278400439,0.05
powerfactor,1732417440265608457,0.05
powerfactor,1732417441285000653,0.05
powerfactor,1732417442272442007,0.05
powerfactor,1732417443277731451,0.05
powerfactor,1732417444271486504,0.05
powerfactor,1732417445268999355,0.05
powerfactor,1732417446270980430,0.05
powerfactor,1732417447283505093,0.05
powerfactor,1732417448281538054,0.05
powerfactor,1732417449271038362,0.05
powerfactor,1732417450280086032,0.05
powerfactor,1732417451282054252,0.05
powerfactor,1732417452277103432,0.05
powerfactor,1732417453266073108,0.05
powerfactor,1732417454272059170,0.05
powerfactor,1732417455267415765,0.05
powerfactor,1732417456269674299,0.05
