time,value
1732417200208148713,1
1732417201209084356,1
1732417202213861402,1
1732417203216513139,1
1732417204277285588,1
1732417205208443760,1
1732417206210713064,1
1732417207215666166,1
1732417208211655030,1
1732417209212535872,1
1732417210209314082,1
1732417211211410001,1
1732417212210404207,1
1732417213208718205,1
1732417214210487905,1
1732417215216321884,1
1732417216199064222,1
1732417217217531133,1
1732417218211964474,1
1732417219216571602,1
1732417220209250275,1
1732417221216690885,1
1732417222208491670,1
1732417223266565890,1
1732417224210145046,1
1732417225209230104,1
1732417226207758181,1
1732417227224921276,1
1732417228222498918,1
1732417229216741352,1
1732417230216836925,1
1732417231215584581,1
1732417232216309551,1
1732417233217642584,1
1732417234220945999,1
1732417235217082159,1
1732417236216479219,1
1732417237222119756,1
1732417238216486111,1
1732417239214689640,1
1732417240217836272,1
1732417241216468904,1
1732417242219516450,1
1732417243217959707,1
1732417244225780435,1
1732417245286354435,1
1732417246218111293,1
1732417247218775249,1
1732417248214284048,1
1732417249217808444,1
1732417250217363739,1
1732417251215810113,1
1732417252214709342,1
1732417253216618613,1
1732417254216634738,1
1732417255217638828,1
1732417256220799645,1
1732417257231999464,1
1732417258224760190,1
1732417259224333869,1
1732417260220384218,1
1732417261219229198,1
1732417262222308102,1
1732417263222058451,1
1732417264237415253,1
1732417265219564053,1
1732417266222333670,1
1732417267221320683,1
1732417268223885798,1
1732417269219867890,1
1732417270223388769,1
1732417271222158286,1
1732417272222179430,1
1732417273225441537,1
1732417274222022236,1
1732417275223670697,1
1732417276224710102,1
1732417277221490123,1
1732417278224016376,1
1732417279220501336,1
1732417280222533566,1
1732417281221156769,1
1732417282219792041,1
1732417283212366037,1
1732417284221787651,1
1732417285211397532,1
1732417286219897540,1
1732417287240263404,1
1732417288229628228,1
1732417289228197261,1
1732417290232692169,1
1732417291226921799,1
1732417292222903961,1
1732417293228031261,1
1732417294226764922,1
1732417295225976274,1
1732417296223529290,1
1732417297228128003,1
1732417298219205316,1
1732417299226705727,1
1732417300226761616,1
1732417301233983267,1
1732417302228185184,1
1732417303226982965,1
1732417304226060427,1
1732417305263465622,1
1732417306228029795,1
1732417307227263820,1
1732417308227302036,1
1732417309230518708,1
1732417310232017953,1
1732417311227095346,1
1732417312225562719,1
1732417313226613306,1
1732417314228036518,1
1732417315228121783,1
1732417316225374037,1
1732417317236170874,1
1732417318232325628,1
1732417319230193492,1
1732417320228053340,1
1732417321227330556,1
1732417322229486878,1
1732417323230338524,1
1732417324230514447,1
1732417325229735237,1
1732417326220276499,1
1732417327354861456,1
1732417328230638369,1
1732417329230178465,1
1732417330230546628,1
1732417331236910946,1
1732417332231150956,1
1732417333231138999,1
1732417334228644004,1
1732417335233365548,1
1732417336229905471,1
1732417337230273675,1
1732417338228438794,1
1732417339225010968,1
1732417340230590131,1
1732417341235321211,1
1732417342230797167,1
1732417343220504661,1
1732417344230814539,1
1732417345220209951,1
1732417346283328411,1
1732417347242727719,1
1732417348238545023,1
1732417349237150855,1
1732417350235301206,1
1732417351236874621,1
1732417352235293123,1
1732417353236705384,1
1732417354236997395,1
1732417355235163443,1
1732417356236484384,1
1732417357236949588,1
1732417358242338957,1
1732417359241127831,1
1732417360244815704,1
1732417361240848531,1
1732417362240899702,1
1732417363234359755,1
1732417364239101674,1
1732417365235589751,1
1732417366236699638,1
1732417367236655620,1
1732417368234615626,1
1732417369234910850,1
1732417370236591633,1
1732417371234691120,1
1732417372235486000,1
1732417373236280901,1
1732417374236773986,1
1732417375239279711,1
1732417376238041553,1
1732417377242542854,1
1732417378243836122,1
1732417379238361956,1
1732417380263072195,1
1732417381236631154,1
1732417382236625930,1
1732417383237339558,1
1732417384248905471,1
1732417385236601048,1
1732417386227476914,1
1732417387300503540,1
1732417388238800482,1
1732417389236829998,1
1732417390241750922,1
1732417391244207434,1
1732417392238310348,1
1732417393236810502,1
1732417394236205196,1
1732417395238315953,1
1732417396238917221,1
1732417397239555117,1
1732417398237023814,1
1732417399237684616,1
1732417400238524560,1
1732417401254642142,1
1732417402236995543,1
1732417403237314874,1
1732417404239774995,1
1732417405239289573,1
1732417406241322522,1
1732417407250324868,1
1732417408242244934,1
1732417409242781382,1
1732417410240503373,1
1732417411241292152,1
1732417412242859043,1
1732417413243090730,1
1732417414241867041,1
1732417415241633660,1
1732417416242531682,1
1732417417244089516,1
1732417418243448564,1
1732417419240462323,1
1732417420241367949,1
1732417421248251638,1
1732417422308517052,1
1732417423240285813,1
1732417424240954106,1
1732417425241266476,1
1732417426242999817,1
1732417427242109838,1
1732417428244586167,1
1732417429242523223,1
1732417430244166257,1
1732417431243173508,1
1732417432240881254,1
1732417433242175505,1
1732417434243435491,1
1732417435242969174,1
1732417436241342672,1
1732417437251115378,1
1732417438246548955,1
1732417439245678645,1
1732417440241843899,1
1732417441249584457,1
1732417442246764327,1
1732417443245571256,1
1732417444245538099,1
1732417445242623601,1
