name,time,value
temp,1732417200212773750,40.46
temp,1732417201212521475,40.46
temp,1732417202216582373,40.46
temp,1732417203218374454,40.46
temp,1732417204277589756,40.46
temp,1732417205214344880,40.46
temp,1732417206218875807,40.46
temp,1732417207219348342,40.46
temp,1732417208213391613,40.46
temp,1732417209219684441,40.46
temp,1732417210209432342,40.46
temp,1732417211214954700,40.46
temp,1732417212221989542,40.46
temp,1732417213213239558,40.46
temp,1732417214215037400,40.46
temp,1732417215221602795,40.46
temp,1732417216203487462,40.46
temp,1732417217228256502,40.46
temp,1732417218218103769,40.46
temp,1732417219217640739,40.46
temp,1732417220224634353,40.46
temp,1732417221217655096,40.46
temp,1732417222212121728,40.46
temp,1732417223266525875,40.46
temp,1732417224213647026,40.46
temp,1732417225213897670,40.46
temp,1732417226211425338,40.46
temp,1732417227228460024,40.09
temp,1732417228222884558,40.78
temp,1732417229220690957,40.78
temp,1732417230223799738,40.78
temp,1732417231219546590,40.78
temp,1732417232224548927,40.78
temp,1732417233221072780,40.78
temp,1732417234222398872,40.78
temp,1732417235225736781,40.78
temp,1732417236221533287,40.78
temp,1732417237231956775,40.78
temp,1732417238224614099,40.78
temp,1732417239219878540,40.78
temp,1732417240225162323,40.78
temp,1732417241229672400,40.78
temp,1732417242233061654,40.78
temp,1732417243222007676,40.78
temp,1732417244229484672,40.78
temp,1732417245286328567,40.78
temp,1732417246221215189,40.78
temp,1732417247225337994,40.78
temp,1732417248220266589,40.78
temp,1732417249222257933,40.78
temp,1732417250223292440,40.78
temp,1732417251227562179,40.78
temp,1732417252221244366,40.78
temp,1732417253221085835,40.78
temp,1732417254221301883,40.78
temp,1732417255221389281,40.78
temp,1732417256220690411,40.78
temp,1732417257234693915,41.03
temp,1732417258227170852,40.78
temp,1732417259225657010,40.78
temp,1732417260224781610,40.78
temp,1732417261225184288,40.78
temp,1732417262225953259,40.78
temp,1732417263225796681,40.78
temp,1732417264238914863,40.78
temp,1732417265226518640,40.78
temp,1732417266226698060,40.78
temp,1732417267234474717,40.78
temp,1732417268229304927,40.78
temp,1732417269224836428,40.78
temp,1732417270232283459,40.78
temp,1732417271234109183,40.78
temp,1732417272227403595,40.78
temp,1732417273235169994,40.78
temp,1732417274227163246,40.78
temp,1732417275230676089,40.78
temp,1732417276236445757,40.78
temp,1732417277225458974,40.78
temp,1732417278227077693,40.78
temp,1732417279225943840,40.78
temp,1732417280230240377,40.78
